From	Entry	Entry Name	Protein names	Gene Names	Organism	Length	Function [CC]	Pathway	Developmental stage	Tissue specificity	Gene Ontology (GO)
COX3_ARATH	P92514	COX3_ARATH	Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III)	COX3 AtMg00730; At2g07687	Arabidopsis thaliana (Mouse-ear cress)	265	FUNCTION: Component of the cytochrome c oxidase, the last enzyme in the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inner membrane that drives transmembrane transport and the ATP synthase. Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Electrons originating from reduced cytochrome c in the intermembrane space (IMS) are transferred via the dinuclear copper A center (CU(A)) of subunit 2 and heme A of subunit 1 to the active site in subunit 1, a binuclear center (BNC) formed by heme A3 and copper B (CU(B)). The BNC reduces molecular oxygen to 2 water molecules using 4 electrons from cytochrome c in the IMS and 4 protons from the mitochondrial matrix. {ECO:0000250|UniProtKB:P00420}.				mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; cytochrome-c oxidase activity [GO:0004129]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]
CRTSO_SOLLC	Q8S4R4	CRTSO_SOLLC	Prolycopene isomerase, chloroplastic (CrtISO) (EC 5.2.1.13) (Carotenoid isomerase) (Protein tangerine)	CRTISO	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	615	FUNCTION: Carotene cis-trans-isomerase that converts 7,9,9'-tri-cis-neurosporene to 9'-cis-neurosporene and 7,9,9',7'-tetra-cis-lycopene (also known as prolycopene) into all-trans-lycopene. Isomerization requires redox-active components, suggesting that isomerization is achieved by a reversible redox reaction acting at specific double bonds. Isomerizes adjacent cis-double bonds at C7 and C9 pairwise into the trans-configuration, but is incapable of isomerizing single cis-double bonds at C9 and C9'.	PATHWAY: Carotenoid biosynthesis; lycopene biosynthesis.		TISSUE SPECIFICITY: Expressed in fruits, with a strong expression during the breaker stage of fruit ripening. {ECO:0000269|PubMed:11884678}.	chloroplast membrane [GO:0031969]; carotenoid isomerase activity [GO:0046608]; oxidoreductase activity [GO:0016491]; carotenoid biosynthetic process [GO:0016117]; etioplast organization [GO:0009662]
CTL1_ARATH	Q9MA41	CTL1_ARATH	Chitinase-like protein 1 (AtCTL1) (Protein ANION ALTERED ROOT MORPHOLOGY) (Protein ECTOPIC DEPOSITION OF LIGNIN IN PITH 1) (Protein ECTOPIC ROOT HAIR 2) (Protein POM-POM1) (Protein SENSITIVE TO HOT TEMPERATURES 2)	CTL1 ARM ELP1 ERH2 HOT2 POM1 At1g05850 T20M3.12	Arabidopsis thaliana (Mouse-ear cress)	321	FUNCTION: No chitinase activity. Essential for normal plant growth and development. Regulates cell expansion extent and differentiation at least in roots and hypocotyls. Prevents lignin accumulation in the pith. May modulate ethylene-mediated regulation during development. Probably required to establish thermotolerance acclimation. Plays a role for controlled anisotropic cell expansion in the regulation of waving during root gravitropism and thigmotropism. Involved in the root system architecture adaptation to multiple environmental conditions such as nitrate. Contributes to salt tolerance and possibly to drought by preventing the overaccumulation of sodium ions. {ECO:0000269|PubMed:10760305, ECO:0000269|PubMed:10806225, ECO:0000269|PubMed:11826306, ECO:0000269|PubMed:12805605, ECO:0000269|PubMed:15908600, ECO:0000269|PubMed:17156413, ECO:0000269|PubMed:20007445, ECO:0000269|PubMed:20056293, ECO:0000269|PubMed:7743935, ECO:0000269|PubMed:9165126}.			TISSUE SPECIFICITY: Mostly expressed in seedlings shoots and roots, stems, and flowers, and, to a lower extent, in flowers, mature leaves and roots. {ECO:0000269|PubMed:11826306, ECO:0000269|PubMed:20007445, ECO:0000269|PubMed:20056293}.	apoplast [GO:0048046]; Golgi apparatus [GO:0005794]; polysaccharide binding [GO:0030247]; cell fate specification [GO:0001708]; cell wall macromolecule catabolic process [GO:0016998]; cellulose biosynthetic process [GO:0030244]; chitin catabolic process [GO:0006032]; ethylene-activated signaling pathway [GO:0009873]; multidimensional cell growth [GO:0009825]; regulation of salicylic acid metabolic process [GO:0010337]; response to cytokinin [GO:0009735]; response to heat [GO:0009408]; response to nitrate [GO:0010167]; response to salt stress [GO:0009651]; response to water deprivation [GO:0009414]; root epidermal cell differentiation [GO:0010053]
CXE8_ARATH	O64640	CXE8_ARATH	Probable carboxylesterase 8 (AtCXE8) (EC 3.1.1.1)	CXE8 At2g45600 17K2.13	Arabidopsis thaliana (Mouse-ear cress)	329	FUNCTION: Carboxylesterase acting on esters with varying acyl chain length. {ECO:0000250}.			TISSUE SPECIFICITY: Expressed in leaves, stems, flowers and siliques. {ECO:0000269|PubMed:14738307}.	carboxylesterase activity [GO:0106435]
CYC_CUCMA	P00051	CYC_CUCMA	Cytochrome c		Cucurbita maxima (Pumpkin) (Winter squash)	111	FUNCTION: Electron carrier protein. The oxidized form of the cytochrome c heme group can accept an electron from the heme group of the cytochrome c1 subunit of cytochrome reductase. Cytochrome c then transfers this electron to the cytochrome oxidase complex, the final protein carrier in the mitochondrial electron-transport chain.				mitochondrial intermembrane space [GO:0005758]; respirasome [GO:0070469]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]
CYP1_SOYBN	Q8W171	CYP1_SOYBN	Peptidyl-prolyl cis-trans isomerase 1 (PPIase 1) (EC 5.2.1.8) (Cyclophilin 1) (Cyclosporin A-binding protein 1) (Rotamase 1)	Cyp1	Glycine max (Soybean) (Glycine hispida)	172	FUNCTION: PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides (By similarity). {ECO:0000250|UniProtKB:O49886}.				cytoplasm [GO:0005737]; cyclosporin A binding [GO:0016018]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein folding [GO:0006457]; protein peptidyl-prolyl isomerization [GO:0000413]
CYP22_ARATH	Q9ZVJ4	CYP22_ARATH	Peptidyl-prolyl cis-trans isomerase CYP22 (PPIase CYP22) (EC 5.2.1.8) (Cyclophilin of 22 kDa) (Cyclophilin-22)	CYP22 CYP22-1 At2g38730 T6A23.7	Arabidopsis thaliana (Mouse-ear cress)	199	FUNCTION: PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides (By similarity). {ECO:0000250}.			TISSUE SPECIFICITY: Ubiquitous. {ECO:0000269|PubMed:15047905, ECO:0000269|PubMed:15051864}.	cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]; plant-type vacuole [GO:0000325]; plasma membrane [GO:0005886]; cyclosporin A binding [GO:0016018]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein folding [GO:0006457]; protein peptidyl-prolyl isomerization [GO:0000413]
CYSK_SOLTU	O81154	CYSK_SOLTU	Cysteine synthase (EC 2.5.1.47) (CSase A) (CS-A) (O-acetylserine (thiol)-lyase) (OAS-TL A) (O-acetylserine sulfhydrylase)		Solanum tuberosum (Potato)	325		PATHWAY: Amino-acid biosynthesis; L-cysteine biosynthesis; L-cysteine from L-serine: step 2/2.			cytoplasm [GO:0005737]; cysteine synthase activity [GO:0004124]; cysteine biosynthetic process from serine [GO:0006535]
CYSK_SPIOL	Q00834	CYSK_SPIOL	Cysteine synthase (EC 2.5.1.47) (CSase A) (O-acetylserine (thiol)-lyase) (OAS-TL A) (O-acetylserine sulfhydrylase)		Spinacia oleracea (Spinach)	325		PATHWAY: Amino-acid biosynthesis; L-cysteine biosynthesis; L-cysteine from L-serine: step 2/2.		TISSUE SPECIFICITY: Leaves and roots.	cytoplasm [GO:0005737]; cysteine synthase activity [GO:0004124]; cysteine biosynthetic process from serine [GO:0006535]
DCAM_CATRO	Q42679	DCAM_CATRO	S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase alpha chain; S-adenosylmethionine decarboxylase beta chain]	SAMDC	Catharanthus roseus (Madagascar periwinkle) (Vinca rosea)	357		PATHWAY: Amine and polyamine biosynthesis; S-adenosylmethioninamine biosynthesis; S-adenosylmethioninamine from S-adenosyl-L-methionine: step 1/1.			adenosylmethionine decarboxylase activity [GO:0004014]; spermidine biosynthetic process [GO:0008295]; spermine biosynthetic process [GO:0006597]
DCAM_NICSY	O80402	DCAM_NICSY	S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase alpha chain; S-adenosylmethionine decarboxylase beta chain]	SAMDC1 SAMDC-1	Nicotiana sylvestris (Wood tobacco) (South American tobacco)	361		PATHWAY: Amine and polyamine biosynthesis; S-adenosylmethioninamine biosynthesis; S-adenosylmethioninamine from S-adenosyl-L-methionine: step 1/1.			adenosylmethionine decarboxylase activity [GO:0004014]; spermidine biosynthetic process [GO:0008295]; spermine biosynthetic process [GO:0006597]
DEFA_ANTMA	P23706	DEFA_ANTMA	Floral homeotic protein DEFICIENS	DEFA	Antirrhinum majus (Garden snapdragon)	227	FUNCTION: Transcription factor involved in the genetic control of flower development. Acts in conjunction with GLOBOSA (glo).				nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; protein dimerization activity [GO:0046983]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; positive regulation of transcription by RNA polymerase II [GO:0045944]
DTX21_ARATH	Q8W488	DTX21_ARATH	Protein DETOXIFICATION 21 (AtDTX21) (Multidrug and toxic compound extrusion protein 21) (MATE protein 21)	DTX21 At1g33110 T9L6.1	Arabidopsis thaliana (Mouse-ear cress)	494					membrane [GO:0016020]; nucleus [GO:0005634]; antiporter activity [GO:0015297]; transmembrane transporter activity [GO:0022857]; xenobiotic transmembrane transporter activity [GO:0042910]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]
DTX29_ARATH	Q38956	DTX29_ARATH	Protein DETOXIFICATION 29 (AtDTX29) (Multidrug and toxic compound extrusion protein 29) (MATE protein 29)	DTX29 At3g26590 MFE16.12	Arabidopsis thaliana (Mouse-ear cress)	500					plant-type vacuole [GO:0000325]; vacuolar membrane [GO:0005774]; vacuole [GO:0005773]; antiporter activity [GO:0015297]; transmembrane transporter activity [GO:0022857]; xenobiotic transmembrane transporter activity [GO:0042910]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]
DTX31_ARATH	Q9LPV4	DTX31_ARATH	Protein DETOXIFICATION 31 (AtDTX31) (Multidrug and toxic compound extrusion protein 31) (MATE protein 31) (Protein ROOT HAIR SPECIFIC 2)	DTX31 RHS2 At1g12950 F13K23.21	Arabidopsis thaliana (Mouse-ear cress)	522	FUNCTION: Positively mediates root hair elongation. {ECO:0000269|PubMed:19448035}.				vacuolar membrane [GO:0005774]; antiporter activity [GO:0015297]; transmembrane transporter activity [GO:0022857]; xenobiotic transmembrane transporter activity [GO:0042910]; root hair elongation [GO:0048767]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]
DXR_MENPI	Q9XES0	DXR_MENPI	1-deoxy-D-xylulose 5-phosphate reductoisomerase, chloroplastic (1-deoxyxylulose-5-phosphate reductoisomerase) (DXP reductoisomerase) (EC 1.1.1.267) (2-C-methyl-D-erythritol 4-phosphate synthase)	DXR	Mentha piperita (Peppermint) (Mentha aquatica x Mentha spicata)	470	FUNCTION: Catalyzes the NADPH-dependent rearrangement and reduction of 1-deoxy-D-xylulose-5-phosphate (DXP) to 2-C-methyl-D-erythritol 4-phosphate (MEP). {ECO:0000250|UniProtKB:P45568}.	PATHWAY: Isoprenoid biosynthesis; isopentenyl diphosphate biosynthesis via DXP pathway; isopentenyl diphosphate from 1-deoxy-D-xylulose 5-phosphate: step 1/6. {ECO:0000250|UniProtKB:Q9XFS9}.			chloroplast [GO:0009507]; 1-deoxy-D-xylulose-5-phosphate reductoisomerase activity [GO:0030604]; metal ion binding [GO:0046872]; NADPH binding [GO:0070402]; isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]
FAAH_ARATH	Q7XJJ7	FAAH_ARATH	Fatty acid amide hydrolase (AtFAAH) (EC 3.5.1.99) (N-acylethanolamine amidohydrolase)	FAAH At5g64440 T12B11.3	Arabidopsis thaliana (Mouse-ear cress)	607	FUNCTION: Catalyzes the hydrolysis of bioactive endogenous fatty acid amides to their corresponding acids (PubMed:12824167). The hydrolysis of endogenous amidated lipids terminates their participation as lipid mediators in various signaling systems (Probable). Converts a wide range of N-acylethanolamines (NAEs) to their corresponding free fatty acids and ethanolamine (PubMed:12824167, PubMed:16624618, PubMed:16738862, PubMed:16880402). Can use oleamide as substrate, but not indole-3-acetamide, 1-naphtalene-acetamide, nicotinic acid amide or L-asparagine (PubMed:16738862). Can use 2-arachidonylglycerol as substrate (PubMed:19801664). Participates in the regulation of plant growth (PubMed:16880402). Hydrolyzes N-dodecanoylethanolamine, which is has a growth inhibitory effect on seedling growth (PubMed:28112243). Involved in plant defense signaling (PubMed:18643971). Involved in abscisic acid (ABA) signaling through mechanisms that are independent of the catalytic activity (PubMed:19801664). Involved in the regulation of flowering time (PubMed:22645580). Catalyzes the hydrolysis of N-acyl L-homoserine lactones (AHLs), which are a class of signaling molecules produced by bacteria for quorum sensing (PubMed:24918118). Accumulation of L-homoserine appears to encourage plant growth at low concentrations by stimulating transpiration, but higher concentrations inhibit growth by stimulating ethylene production (PubMed:24918118). {ECO:0000269|PubMed:12824167, ECO:0000269|PubMed:16624618, ECO:0000269|PubMed:16738862, ECO:0000269|PubMed:16880402, ECO:0000269|PubMed:18643971, ECO:0000269|PubMed:19801664, ECO:0000269|PubMed:22645580, ECO:0000269|PubMed:24918118, ECO:0000269|PubMed:28112243, ECO:0000305|PubMed:12824167}.		DEVELOPMENTAL STAGE: Up-regulated during seed germination and early postgerminative seedling growth. {ECO:0000269|PubMed:16880402}.	TISSUE SPECIFICITY: Expressed in roots, leaves and flowers (PubMed:16738862). Expressed in seedlings, flowers, roots, siliques, seeds and leaves (PubMed:16880402). {ECO:0000269|PubMed:16738862, ECO:0000269|PubMed:16880402}.	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; plant-type vacuole [GO:0000325]; plasma membrane [GO:0005886]; plastid [GO:0009536]; fatty acid amide hydrolase activity [GO:0017064]; N-(long-chain-acyl)ethanolamine deacylase activity [GO:0047412]; defense response to bacterium [GO:0042742]; lipid catabolic process [GO:0016042]; N-acylethanolamine metabolic process [GO:0070291]
FAAH_ORYSI	Q01N44	FAAH_ORYSI	Fatty acid amide hydrolase (EC 3.5.1.-) (N-acylethanolamine amidohydrolase)	FAAH OSIGBa0123D13.5	Oryza sativa subsp. indica (Rice)	608	FUNCTION: Catalyzes the hydrolysis of bioactive endogenous fatty acid amides to their corresponding acids. The hydrolysis of endogenous amidated lipids terminates their participation as lipid mediators in various signaling systems. Converts a wide range of N-acylethanolamines (NAEs) to their corresponding free fatty acids and ethanolamine. {ECO:0000250|UniProtKB:Q0JFH7}.				endoplasmic reticulum membrane [GO:0005789]; plasma membrane [GO:0005886]; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]; lipid catabolic process [GO:0016042]
FENR2_PEA	Q41014	FENR2_PEA	Ferredoxin--NADP reductase, root isozyme, chloroplastic (FNR) (EC 1.18.1.2)		Pisum sativum (Garden pea)	377	FUNCTION: May play a key role in regulating the relative amounts of cyclic and non-cyclic electron flow to meet the demands of the plant for ATP and reducing power. Is involved in nitrate assimilation.	PATHWAY: Energy metabolism; photosynthesis.			chloroplast [GO:0009507]; ferredoxin-NADP+ reductase activity [GO:0004324]; photosynthesis [GO:0015979]
FER3_MAIZE	P27788	FER3_MAIZE	Ferredoxin-3, chloroplastic (Ferredoxin III) (Fd III)	FDX3 PFD3	Zea mays (Maize)	152	FUNCTION: Ferredoxins are iron-sulfur proteins that transfer electrons in a wide variety of metabolic reactions.				chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; etioplast stroma [GO:0009578]; 2 iron, 2 sulfur cluster binding [GO:0051537]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; electron transport chain [GO:0022900]
GASAB_ARATH	F4IQJ4	GASAB_ARATH	Gibberellin-regulated protein 11 (GAST1 protein homolog 11)	GASA11 At2g18420 T30D6.7	Arabidopsis thaliana (Mouse-ear cress)	94	FUNCTION: Gibberellin-regulated protein that may function in hormonal controlled steps of development such as seed germination, flowering and seed maturation. {ECO:0000250}.				extracellular region [GO:0005576]; gibberellic acid mediated signaling pathway [GO:0009740]
GGPPS_CATRO	Q42698	GGPPS_CATRO	Geranylgeranyl pyrophosphate synthase, chloroplastic (GGPP synthase) (GGPS) (EC 2.5.1.-) ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Farnesyl diphosphate synthase) (Farnesyltranstransferase) (EC 2.5.1.29) (Geranyltranstransferase) (EC 2.5.1.10)	GGPS1 GGC1	Catharanthus roseus (Madagascar periwinkle) (Vinca rosea)	357	FUNCTION: Catalyzes the trans-addition of the three molecules of IPP onto DMAPP to form geranylgeranyl pyrophosphate.	PATHWAY: Isoprenoid biosynthesis; farnesyl diphosphate biosynthesis; farnesyl diphosphate from geranyl diphosphate and isopentenyl diphosphate: step 1/1.; PATHWAY: Isoprenoid biosynthesis; geranyl diphosphate biosynthesis; geranyl diphosphate from dimethylallyl diphosphate and isopentenyl diphosphate: step 1/1.; PATHWAY: Isoprenoid biosynthesis; geranylgeranyl diphosphate biosynthesis; geranylgeranyl diphosphate from farnesyl diphosphate and isopentenyl diphosphate: step 1/1.			chloroplast [GO:0009507]; dimethylallyltranstransferase activity [GO:0004161]; farnesyltranstransferase activity [GO:0004311]; geranyltranstransferase activity [GO:0004337]; metal ion binding [GO:0046872]; carotenoid biosynthetic process [GO:0016117]; farnesyl diphosphate biosynthetic process [GO:0045337]; geranyl diphosphate biosynthetic process [GO:0033384]; geranylgeranyl diphosphate biosynthetic process [GO:0033386]
GGT24_PUNGR	A0A193AU77	GGT24_PUNGR	Gallate 1-beta-glucosyltransferase 84A24 (EC 2.4.1.136) (UDP-glucose:gallate glucosyltransferase) (UDP-glycosyltransferase 84A24) (EC 2.4.1.120, EC 2.4.1.170, EC 2.4.1.177, EC 2.4.1.194, EC 2.4.1.81)	UGT84A24 CRG98_007995	Punica granatum (Pomegranate)	517	FUNCTION: Glucosyltransferase that catalyzes the formation of 1-O-beta-D-glucose esters with hydroxybenzoic acids and cinnamic acid including its derivatives as preferred glucosyl acceptors. Has significant activity with gallic acid (3,4,5-trihydroxybenzoic acid), 3,4-dihydroxybenzoic acid, 4-hydroxybenzoic acid, cinnamic acid, sinapic acid, coumaric acid, caffeic acid and ferulic acid in vitro. Gallic acid is the predicted native substrate of the enzyme, which thus catalyzes the formation of 1-O-galloyl-beta-D-glucose, the first committed step of hydrolyzable tannins (HTs) biosynthesis, with punicalagin isomers being the major HTs of pomegranate. Catalyzes the formation of flavonoid glucosides with genistein, apigenin and luteolin in vitro. Has low activity with benzoic acid, 2-hydroxybenzoic acid, 3-hydroxybenzoic acid, 2,4-dihydroxybenzoic acid, naringenin and quercetin. No activity with catechol, resveratrol, chlorogenic acid, catechin and epicatechin (building blocks of proanthocyanidins) or cyanidin, delphinidin and pelargonidin (the three anthocyanidins). {ECO:0000269|PubMed:27227328}.			TISSUE SPECIFICITY: Highly expressed in leaf. Also expressed in peel, stem, root and aril. {ECO:0000269|PubMed:27227328}.	cytoplasm [GO:0005737]; 4-hydroxybenzoate 4-O-beta-D-glucosyltransferase activity [GO:0047250]; cinnamate beta-D-glucosyltransferase activity [GO:0050412]; flavone 7-O-beta-glucosyltransferase activity [GO:0047891]; gallate 1-beta-glucosyltransferase activity [GO:0047913]; isoflavone 7-O-glucosyltransferase activity [GO:0050004]; sinapate 1-glucosyltransferase activity [GO:0050284]; UDP-glucosyltransferase activity [GO:0035251]; 3,4-dihydroxybenzoate metabolic process [GO:0046278]; cinnamic acid ester metabolic process [GO:0009801]; ferulate metabolic process [GO:0033494]
GLNA2_VITVI	P51119	GLNA2_VITVI	Glutamine synthetase cytosolic isozyme 2 (EC 6.3.1.2) (Glutamate--ammonia ligase)	GS1-2 GS1;2	Vitis vinifera (Grape)	356					cytoplasm [GO:0005737]; ATP binding [GO:0005524]; glutamate-ammonia ligase activity [GO:0004356]; glutamine biosynthetic process [GO:0006542]
GRS15_ARATH	Q8LBK6	GRS15_ARATH	Monothiol glutaredoxin-S15, mitochondrial (AtGrxS15)	GRXS15 At3g15660 MSJ11.6	Arabidopsis thaliana (Mouse-ear cress)	169	FUNCTION: May only reduce GSH-thiol disulfides, but not protein disulfides. Participates probably to the maturation of iron-sulfur proteins and to the regulation of the redox state of the BOLA proteins. {ECO:0000305}.				cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; 2 iron, 2 sulfur cluster binding [GO:0051537]; disulfide oxidoreductase activity [GO:0015036]; metal ion binding [GO:0046872]; protein lipoylation [GO:0009249]
H33_ARATH	P59169	H33_ARATH	Histone H3.3 (Histone H3.2)	HTR4 At4g40030 T5J17.200; HTR5 At4g40040 T5J17.210; HTR8 At5g10980 T30N20_250 T5K6.6	Arabidopsis thaliana (Mouse-ear cress)	136	FUNCTION: Variant histone H3 which replaces conventional H3 in a wide range of nucleosomes in active genes. Constitutes the predominant form of histone H3 in non-dividing cells and is incorporated into chromatin independently of DNA synthesis. Deposited at sites of nucleosomal displacement throughout transcribed genes, suggesting that it represents an epigenetic imprint of transcriptionally active chromatin. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling.		DEVELOPMENTAL STAGE: Expressed in a replication-independent manner. Strong expression in the generative cell of early bicellular pollen, but not detected in late bicellular and tricellular pollen. {ECO:0000269|PubMed:15010610, ECO:0000269|PubMed:16262706}.	TISSUE SPECIFICITY: Ubiquitous. {ECO:0000269|PubMed:16262706}.	nucleolus [GO:0005730]; nucleosome [GO:0000786]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; rDNA protrusion [GO:0030875]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; structural constituent of chromatin [GO:0030527]
HMDH1_HEVBR	P29057	HMDH1_HEVBR	3-hydroxy-3-methylglutaryl-coenzyme A reductase 1 (HMG-CoA reductase 1) (EC 1.1.1.34)	HMGR1	Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)	575	FUNCTION: Catalyzes the synthesis of mevalonate. The specific precursor of all isoprenoid compounds present in plants.	PATHWAY: Metabolic intermediate biosynthesis; (R)-mevalonate biosynthesis; (R)-mevalonate from acetyl-CoA: step 3/3.			endoplasmic reticulum membrane [GO:0005789]; mitochondrial membrane [GO:0031966]; plastid membrane [GO:0042170]; hydroxymethylglutaryl-CoA reductase (NADPH) activity [GO:0004420]; coenzyme A metabolic process [GO:0015936]; isoprenoid biosynthetic process [GO:0008299]
HMGR1_PANGI	A0A0A1C3I2	HMGR1_PANGI	3-hydroxy-3-methylglutaryl coenzyme A reductase 1 (HMG-CoA reductase 1) (Hydroxymethylglutaryl-CoA reductase) (PgHMGR1) (EC 1.1.1.34)	HMGR1 HMGR	Panax ginseng (Korean ginseng)	573	FUNCTION: Catalyzes the synthesis of mevalonate, the specific precursor of all isoprenoid compounds present in plants (By similarity). Component of the triterpene saponins (e.g. ginsenosides or panaxosides) and phytosterols biosynthetic pathways (PubMed:24569845, PubMed:29378087). Promotes triterpenes accumulation in roots (PubMed:24569845). {ECO:0000250|UniProtKB:P14891, ECO:0000269|PubMed:24569845, ECO:0000303|PubMed:29378087}.	PATHWAY: Metabolic intermediate biosynthesis; (R)-mevalonate biosynthesis; (R)-mevalonate from acetyl-CoA: step 3/3. {ECO:0000305}.	DEVELOPMENTAL STAGE: Relatively constant levels in mature roots (PubMed:24569845). Rapid decrease in roots and leaves from the leaf opened to the green fruit stage (PubMed:30577538). At the leaf opened stage, accumulates mostly in roots (PubMed:30577538). {ECO:0000269|PubMed:24569845, ECO:0000269|PubMed:30577538}.	TISSUE SPECIFICITY: Mostly expressed in the petioles of seedlings and roots (both in main roots and lateral roots), and, to a lower extent, in seeds, seedlings, leaves, stems and flowers. {ECO:0000269|PubMed:24569845, ECO:0000269|PubMed:30577538}.	chloroplast membrane [GO:0031969]; endoplasmic reticulum membrane [GO:0005789]; peroxisomal membrane [GO:0005778]; hydroxymethylglutaryl-CoA reductase (NADPH) activity [GO:0004420]; coenzyme A metabolic process [GO:0015936]; response to absence of light [GO:0009646]; response to jasmonic acid [GO:0009753]; saponin biosynthetic process [GO:0016135]; triterpenoid biosynthetic process [GO:0016104]
INVB_DAUCA	P80065	INVB_DAUCA	Beta-fructofuranosidase, soluble isoenzyme I (EC 3.2.1.26) (Invertase) (Saccharase) (Sucrose hydrolase)	INV*DC4	Daucus carota (Wild carrot)	661	FUNCTION: May participate in the regulation of the hexose level in mature tissues and in the utilization of sucrose stored in vacuoles.				membrane [GO:0016020]; vacuolar lumen [GO:0005775]; beta-fructofuranosidase activity [GO:0004564]; carbohydrate metabolic process [GO:0005975]
ISPG_ARATH	F4K0E8	ISPG_ARATH	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin), chloroplastic (EC 1.17.7.1) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase) (Protein CHLOROPLAST BIOGENESIS 4) (Protein CONSTITUTIVE SUBTILISIN 3)	ISPG CLB4 CSB3 HDS At5g60600 MUP24.2	Arabidopsis thaliana (Mouse-ear cress)	741	FUNCTION: Enzyme of the plastid non-mevalonate pathway for isoprenoid biosynthesis that converts 2-C-methyl-D-erythritol 2,4-cyclodiphosphate (ME-2,4cPP) into 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate. Is essential for chloroplast development and required for the salicylic acid (SA)-mediated disease resistance to biotrophic pathogens. {ECO:0000269|PubMed:11943178, ECO:0000269|PubMed:15133149, ECO:0000269|PubMed:15650872, ECO:0000269|PubMed:16167903, ECO:0000269|PubMed:16480720}.	PATHWAY: Isoprenoid biosynthesis; isopentenyl diphosphate biosynthesis via DXP pathway; isopentenyl diphosphate from 1-deoxy-D-xylulose 5-phosphate: step 5/6.		TISSUE SPECIFICITY: Expressed in roots, shoots, leaves, flowers and siliques (at protein level). {ECO:0000269|PubMed:15133149}.	chloroplast [GO:0009507]; chloroplast envelope [GO:0009941]; chloroplast stroma [GO:0009570]; plastid [GO:0009536]; 4 iron, 4 sulfur cluster binding [GO:0051539]; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity [GO:0046429]; iron ion binding [GO:0005506]; isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; response to bacterium [GO:0009617]; systemic acquired resistance, salicylic acid mediated signaling pathway [GO:0009862]; terpenoid biosynthetic process [GO:0016114]
