"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"AT4G35100"," PIP2-7","AT4G35100",829662,"protein_coding","Arabidopsis thaliana","4",16.708361,"Aquaporin PIP2-7 [Source:UniProtKB/Swiss-Prot;Acc:P93004]",39.52,2,2046,843,1222,214.5,182,4.5
"AT4G35290"," GLR3.2","AT4G35290",829682,"protein_coding","Arabidopsis thaliana","4",16.789531,"Glutamate receptor 3.2 [Source:UniProtKB/Swiss-Prot;Acc:Q93YT1]",39.74,6,4154,2739,3189,75,223,7.5
"AT4G37470"," KAI2","AT4G37470",829902,"protein_coding","Arabidopsis thaliana","4",17.616659,"KAI2 [Source:UniProtKB/TrEMBL;Acc:A0A178V1E5]",36.64,1,1997,813,1492,292,385,2
"AT4G37760"," SQE3","AT4G37760",829932,"protein_coding","Arabidopsis thaliana","4",17.743738,"Squalene epoxidase 3 [Source:UniProtKB/Swiss-Prot;Acc:Q8VYH2]",39.63,1,2959,1578,2196,346,270,6
"AT4G38400"," EXLA2","AT4G38400",829997,"protein_coding","Arabidopsis thaliana","4",17.978422,"Expansin-like A2 [Source:UniProtKB/Swiss-Prot;Acc:Q9SVE5]",43.67,1,1318,798,1126,74,252,3
"AT4G38460"," GGR","AT4G38460",830002,"protein_coding","Arabidopsis thaliana","4",17.994739,"Heterodimeric geranylgeranyl pyrophosphate synthase small subunit, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q39108]",48.92,1,1483,981,1339,109,247,2
"AT4G38960"," ","AT4G38960",830051,"protein_coding","Arabidopsis thaliana","4",18.160903,"B-box type zinc finger family protein [Source:UniProtKB/TrEMBL;Acc:F4JUJ1]",36.53,6,2438,459,1522,217,295,6
"AT5G04340"," ZAT6","AT5G04340",830313,"protein_coding","Arabidopsis thaliana","5",1.216058,"Zinc finger protein ZAT6 [Source:UniProtKB/Swiss-Prot;Acc:O22533]",42.15,1,1304,717,1305,324,262,1
"AT5G10770"," ","AT5G10770",830944,"protein_coding","Arabidopsis thaliana","5",3.403021,"Aspartyl protease family protein At5g10770 [Source:UniProtKB/Swiss-Prot;Acc:Q8S9J6]",41.83,1,2550,1425,1975,239,309,3
"AT5G15580"," LNG1","AT5G15580",831411,"protein_coding","Arabidopsis thaliana","5",5.068237,"Protein LONGIFOLIA 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LF24]",41.21,1,4255,2784,3604,561,257,5
"AT5G18080"," SAUR24","AT5G18080",28721172,"protein_coding","Arabidopsis thaliana","5",5.983683,"Auxin-responsive protein SAUR24 [Source:UniProtKB/Swiss-Prot;Acc:Q9FK62]",36.26,1,625,273,626,156,195,1
"AT5G18670"," BAM9","AT5G18670",831985,"protein_coding","Arabidopsis thaliana","5",6.225956,"Inactive beta-amylase 9 [Source:UniProtKB/Swiss-Prot;Acc:Q8VYW2]",41.29,1,2239,1611,1989,181,195,3
"AT5G19770"," TUBA3","AT5G19770",832097,"protein_coding","Arabidopsis thaliana","5",6.68242,"Tubulin alpha chain [Source:UniProtKB/TrEMBL;Acc:A0A178UTQ9]",42.71,1,2324,1353,1964,269,340,5
"AT5G19780"," TUBA3","AT5G19780",832097,"protein_coding","Arabidopsis thaliana","5",6.68703,"Tubulin alpha chain [Source:UniProtKB/TrEMBL;Acc:A0A178UTQ9]",43.28,1,2141,1353,1780,181,244,5
"AT5G19855"," RBCX2","AT5G19855",832106,"protein_coding","Arabidopsis thaliana","5",6.711943,"RbcX2 [Source:UniProtKB/TrEMBL;Acc:A0A178UCQ2]",39.45,2,1994,462,1409,362.5,336,4.5
"AT5G20410"," MGD2","AT5G20410",832163,"protein_coding","Arabidopsis thaliana","5",6.896463,"Monogalactosyldiacylglycerol synthase 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:O82730]",40.28,1,2320,1407,1911,301,201,6
"AT5G23440"," FTRA1","AT5G23440",832410,"protein_coding","Arabidopsis thaliana","5",7.902895,"At5g23440 [Source:UniProtKB/TrEMBL;Acc:Q9FHL4]",40,1,1004,549,1005,120,334,1
"AT5G24470"," APRR5","AT5G24470",832518,"protein_coding","Arabidopsis thaliana","5",8.356204,"Two-component response regulator-like APRR5 [Source:UniProtKB/Swiss-Prot;Acc:Q6LA42]",41.61,1,2342,1677,1677,NA,NA,6
"AT5G24580"," HIPP09","AT5G24580",832529,"protein_coding","Arabidopsis thaliana","5",8.410184,"Heavy metal-associated isoprenylated plant protein 9 [Source:UniProtKB/Swiss-Prot;Acc:Q9FLU5]",37.44,5,2328,957,1271,155,144,4
"AT5G26751"," ASK1","AT5G26751",832733,"protein_coding","Arabidopsis thaliana","5",9.399377,"Shaggy-related protein kinase alpha [Source:UniProtKB/Swiss-Prot;Acc:P43288]",35.52,1,3099,1218,1666,120.5,204,13
"AT5G27600"," LACS7","AT5G27600",832820,"protein_coding","Arabidopsis thaliana","5",9.742492,"Long chain acyl-CoA synthetase 7, peroxisomal [Source:UniProtKB/Swiss-Prot;Acc:Q8LKS5]",37.35,1,4532,2103,2456,123,228,23
"AT5G38030"," DTX30","AT5G38030",833782,"protein_coding","Arabidopsis thaliana","5",15.171143,"Protein DETOXIFICATION 30 [Source:UniProtKB/Swiss-Prot;Acc:Q9LS19]",34.63,1,4423,1497,2104,263,342,8
"AT5G39865"," ","AT5G39865",833983,"protein_coding","Arabidopsis thaliana","5",15.965301,"Uncharacterized protein At5g39865 [Source:UniProtKB/Swiss-Prot;Acc:Q9FLE8]",38.81,1,1885,1173,1886,453,258,1
"AT5G41670"," PGD3","AT5G41670",834169,"protein_coding","Arabidopsis thaliana","5",16.664674,"6-phosphogluconate dehydrogenase, decarboxylating [Source:UniProtKB/TrEMBL;Acc:A0A178UQL8]",41.92,4,2716,1464,1848,169.5,251,2
"AT5G43700"," IAA4","AT5G43700",834390,"protein_coding","Arabidopsis thaliana","5",17.550179,"IAA4 [Source:UniProtKB/TrEMBL;Acc:A0A384LA06]",34.29,1,1536,561,1356,285,508,3
"AT5G47240"," atnudt8","AT5G47240",834771,"protein_coding","Arabidopsis thaliana","5",19.183523,"nudix hydrolase homolog 8 [Source:TAIR;Acc:AT5G47240]",34.92,2,2121,1153.5,1589.5,258,176,6.5
"AT5G48230"," AAT1","AT5G48230",834876,"protein_coding","Arabidopsis thaliana","5",19.552142,"AT5G48230 protein [Source:UniProtKB/TrEMBL;Acc:B9DGQ1]",38.11,2,3389,1204.5,1903,200.5,168,13.5
"AT5G49180"," PME58","AT5G49180",834977,"protein_coding","Arabidopsis thaliana","5",19.940462,"Pectinesterase [Source:UniProtKB/TrEMBL;Acc:A0A178UKT8]",40.64,1,2553,1716,2176,138,320,3
"AT5G49630"," AAP6","AT5G49630",835025,"protein_coding","Arabidopsis thaliana","5",20.14243,"AAP6 [Source:UniProtKB/TrEMBL;Acc:A0A178UHU7]",34.73,1,4260,1446,1946,248,250,6
"AT5G50100"," ","AT5G50100",835074,"protein_coding","Arabidopsis thaliana","5",20.371798,"Uncharacterized protein At5g50100, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q8W485]",33.88,1,1643,645,1032,117,268,8
"AT5G52510"," SCL8","AT5G52510",835327,"protein_coding","Arabidopsis thaliana","5",21.307016,"Scarecrow-like protein 8 [Source:UniProtKB/Swiss-Prot;Acc:Q9FYR7]",44.97,1,2325,1923,2326,179,222,1
"AT5G54380"," THE1","AT5G54380",835526,"protein_coding","Arabidopsis thaliana","5",22.07704,"Receptor-like protein kinase THESEUS 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LK35]",40.73,1,3301,2568,3302,460,272,1
"AT5G56170"," LLG1","AT5G56170",835716,"protein_coding","Arabidopsis thaliana","5",22.735899,"LLG1 [Source:UniProtKB/TrEMBL;Acc:A0A178USL6]",37.68,1,1440,507,911,172,230,3
"AT5G57110"," ACA8","AT5G57110",835815,"protein_coding","Arabidopsis thaliana","5",23.109438,"Calcium-transporting ATPase [Source:UniProtKB/TrEMBL;Acc:Q0WV19]",37.69,3,8248,3225,3746,67.5,290,35
"AT5G57660"," COL5","AT5G57660",835872,"protein_coding","Arabidopsis thaliana","5",23.355337,"Zinc finger protein CONSTANS-LIKE 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9FHH8]",41.92,1,1652,1068,1564,235,259,2
"AT5G59540"," ","AT5G59540",836073,"protein_coding","Arabidopsis thaliana","5",23.99585,"1-aminocyclopropane-1-carboxylate oxidase homolog 12 [Source:UniProtKB/Swiss-Prot;Acc:Q9LTH7]",39.4,2,1971,1101,1789,128.5,491.5,2.5
"AT5G62680"," NPF2.11","AT5G62680",836389,"protein_coding","Arabidopsis thaliana","5",25.165137,"GTR2 [Source:UniProtKB/TrEMBL;Acc:A0A178UEQ7]",40.39,1,2923,1851,2382,237,292,4
"AT5G63970"," RGLG3","AT5G63970",836518,"protein_coding","Arabidopsis thaliana","5",25.606771,"E3 ubiquitin-protein ligase RGLG3 [Source:UniProtKB/Swiss-Prot;Acc:Q8RX26]",36.91,2,2535,1104,1629,70,234,10.5
"AT5G65980"," PILS7","AT5G65980",836728,"protein_coding","Arabidopsis thaliana","5",26.392336,"Protein PIN-LIKES 7 [Source:UniProtKB/Swiss-Prot;Acc:Q9FKY4]",42.29,2,2432,1144.5,1851,104.5,600,7.5
