From	Entry	Entry Name	Protein names	Gene Names	Organism	Length	Function [CC]	Pathway	Developmental stage	Tissue specificity	Gene Ontology (GO)	Gene Ontology IDs
CIPK5_ORYSJ	Q9LWM4	CIPK5_ORYSJ	CBL-interacting protein kinase 5 (EC 2.7.11.1) (OsCIPK05)	CIPK5 Os01g0206700 LOC_Os01g10890 OsJ_000797 OSJNBa0016I09.5 P0451C06.36	Oryza sativa subsp. japonica (Rice)	461	FUNCTION: CIPK serine-threonine protein kinases interact with CBL proteins. Binding of a CBL protein to the regulatory NAF domain of CIPK protein lead to the activation of the kinase in a calcium-dependent manner (By similarity). {ECO:0000250}.				ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein phosphorylation [GO:0006468]; signal transduction [GO:0007165]	GO:0004674; GO:0005524; GO:0006468; GO:0007165; GO:0106310
WUN1_SOLTU	P20144	WUN1_SOLTU	Wound-induced protein 1	WUN1	Solanum tuberosum (Potato)	105			DEVELOPMENTAL STAGE: WUN1 expression may be correlated with cell death as old and dying tissues contain high levels of WUN1 mRNA in the absence of any wounding.	TISSUE SPECIFICITY: Ubiquitous.		
GLOX1_ARATH	Q9FYG4	GLOX1_ARATH	Aldehyde oxidase GLOX1 (EC 1.2.3.1) (Glyoxal oxidase 1)	GLOX1 At1g67290 F1N21.11	Arabidopsis thaliana (Mouse-ear cress)	615	FUNCTION: Catalyzes the oxidation of aldehydes to the corresponding carboxylate by coupling the reaction to the reduction of dioxygen to hydrogen peroxide. Substrates include glyoxal and other aldehydes (By similarity). May be regulated by the transcription factor MYB80 during anther development and play a role in tapetum and pollen development (PubMed:21673079). {ECO:0000250|UniProtKB:Q01772, ECO:0000269|PubMed:21673079}.		DEVELOPMENTAL STAGE: During anther development, expressed from stage 10 to the latest stage 14 in tapetal cells, developing microspores and mature pollen grains and released pollen grains. {ECO:0000269|PubMed:21673079}.		extracellular region [GO:0005576]; aldehyde oxidase activity [GO:0004031]	GO:0004031; GO:0005576
SNAK2_SOLTU	Q93X17	SNAK2_SOLTU	Snakin-2	SN2	Solanum tuberosum (Potato)	104	FUNCTION: Has an antimicrobial activity. Causes a rapid aggregation of both Gram-positive and Gram-negative bacteria, but the antimicrobial activity is not correlated with the capacity to aggregate bacteria. {ECO:0000269|PubMed:11891250}.			TISSUE SPECIFICITY: Expressed in tubers, stems, flowers, shoot apex and leaves, but not in roots or stolons. {ECO:0000269|PubMed:11891250}.	extracellular region [GO:0005576]; defense response [GO:0006952]	GO:0005576; GO:0006952
FB118_ARATH	Q6NLB1	FB118_ARATH	F-box protein At2g26850	At2g26850 F12C20.11	Arabidopsis thaliana (Mouse-ear cress)	371						
FB121_ARATH	Q8RY82	FB121_ARATH	F-box protein At2g32560	At2g32560 T26B15.12	Arabidopsis thaliana (Mouse-ear cress)	371						
FTRA1_ARATH	Q9FHL4	FTRA1_ARATH	Ferredoxin-thioredoxin reductase subunit A1, chloroplastic (FTR-A1) (Ferredoxin-thioredoxin reductase, variable chain FTRA1) (FTR-V 1)	FTRA1 At5g23440 K19M13.7	Arabidopsis thaliana (Mouse-ear cress)	182	FUNCTION: Variable subunit of the ferredoxin-thioredoxin reductase (FTR), which catalyzes the two-electron reduction of thioredoxins by the electrons provided by reduced ferredoxin. {ECO:0000250|UniProtKB:P80680}.				chloroplast [GO:0009507]; oxidoreductase activity [GO:0016491]; photosynthesis [GO:0015979]	GO:0009507; GO:0015979; GO:0016491
GEML6_ARATH	Q9FMW6	GEML6_ARATH	GEM-like protein 6	At5g23350 MKD15.21	Arabidopsis thaliana (Mouse-ear cress)	218						
PSBR_TOBAC	Q40519	PSBR_TOBAC	Photosystem II 10 kDa polypeptide, chloroplastic (PII10)	PSBR	Nicotiana tabacum (Common tobacco)	136	FUNCTION: Associated with the oxygen-evolving complex of photosystem II.				chloroplast thylakoid membrane [GO:0009535]; photosystem II oxygen evolving complex [GO:0009654]; photosynthesis [GO:0015979]	GO:0009535; GO:0009654; GO:0015979
PHI1_TOBAC	O82161	PHI1_TOBAC	Protein PHOSPHATE-INDUCED 1	PHI-1	Nicotiana tabacum (Common tobacco)	313	FUNCTION: May be involved in the regulation of cell division. {ECO:0000269|PubMed:10189698}.				apoplast [GO:0048046]; extracellular space [GO:0005615]	GO:0005615; GO:0048046
SAG21_ARATH	Q93WF6	SAG21_ARATH	Protein SENESCENCE-ASSOCIATED GENE 21, mitochondrial (Late embryogenesis abundant like 5) (AtLEA5) (Late embryogenis abundant protein 38)	SAG21 LEA38 LEA5 At4g02380 T14P8.2	Arabidopsis thaliana (Mouse-ear cress)	97	FUNCTION: Mediates tolerance to oxidative stresses (e.g. hydrogen peroxide H(2)O(2), diamide, menadione and tert-butyl hydroperoxide) by minimizing the negative effects of oxidation and monitoring photosynthesis during stress (PubMed:17092320). Promotes root development. Prevents premature aging (e.g. senescence and flowering). Involved in resistance against compatible pathogens such as Botrytis cinerea and Pseudomonas syringae pv. tomato (PubMed:21736589). {ECO:0000269|PubMed:17092320, ECO:0000269|PubMed:21736589}.		DEVELOPMENTAL STAGE: Accumulates and reach a peak shortly before full senescence, at the interface between the green and yellow regions of senescent leaves, and then declines (PubMed:9617813, PubMed:21736589). In flowers, restricted to the pollen and very weak expression in petal veins. In dark-treated seedlings, strongly expressed throughout the root tissues, including root hairs, except in primary and lateral root tips (PubMed:21736589). {ECO:0000269|PubMed:21736589, ECO:0000269|PubMed:9617813}.	TISSUE SPECIFICITY: Expressed in roots, stems leaves and flowers, but not in seeds (PubMed:17092320). In short days, observed in cotyledons and roots but absent from rosette leaves (PubMed:21736589). {ECO:0000269|PubMed:17092320, ECO:0000269|PubMed:21736589}.	mitochondrion [GO:0005739]; cellular response to water deprivation [GO:0042631]; defense response [GO:0006952]; leaf senescence [GO:0010150]; regulation of defense response to bacterium [GO:1900424]; regulation of defense response to fungus [GO:1900150]; regulation of leaf senescence [GO:1900055]; regulation of photoperiodism, flowering [GO:2000028]; response to abscisic acid [GO:0009737]; response to absence of light [GO:0009646]; response to cold [GO:0009409]; response to ethylene [GO:0009723]; response to fungus [GO:0009620]; response to hydrogen peroxide [GO:0042542]; response to insect [GO:0009625]; response to light stimulus [GO:0009416]; response to oxidative stress [GO:0006979]; response to reactive oxygen species [GO:0000302]; response to salt [GO:1902074]; response to water deprivation [GO:0009414]; response to wounding [GO:0009611]; root development [GO:0048364]	GO:0000302; GO:0005739; GO:0006952; GO:0006979; GO:0009409; GO:0009414; GO:0009416; GO:0009611; GO:0009620; GO:0009625; GO:0009646; GO:0009723; GO:0009737; GO:0010150; GO:0042542; GO:0042631; GO:0048364; GO:1900055; GO:1900150; GO:1900424; GO:1902074; GO:2000028
SWET1_ARATH	Q8L9J7	SWET1_ARATH	Bidirectional sugar transporter SWEET1 (AtSWEET1) (Protein SUGARS WILL EVENTUALLY BE EXPORTED TRANSPORTERS 1)	SWEET1 At1g21460 F24J8.9	Arabidopsis thaliana (Mouse-ear cress)	247	FUNCTION: Mediates both low-affinity uptake and efflux of sugar across the plasma membrane. Can transport glucose, and, to a lower extent, mannose, fructose and galactose. {ECO:0000269|PubMed:21107422}.			TISSUE SPECIFICITY: Mainly expressed in flowers. {ECO:0000269|PubMed:21107422}.	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; plasma membrane [GO:0005886]; sugar transmembrane transporter activity [GO:0051119]; carbohydrate transport [GO:0008643]; protein homooligomerization [GO:0051260]	GO:0005783; GO:0005789; GO:0005886; GO:0008643; GO:0051119; GO:0051260
NUD17_ARATH	Q9ZU95	NUD17_ARATH	Nudix hydrolase 17, mitochondrial (AtNUDT17) (EC 3.6.1.-)	NUDT17 NUDX17 At2g01670 T8O11.16	Arabidopsis thaliana (Mouse-ear cress)	182	FUNCTION: Probably mediates the hydrolysis of some nucleoside diphosphate derivatives. {ECO:0000250}.			TISSUE SPECIFICITY: Expressed in roots, leaves, stems and inflorescences. {ECO:0000269|PubMed:18815383}.	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; metal ion binding [GO:0046872]; pyrophosphatase activity [GO:0016462]	GO:0005634; GO:0005737; GO:0005739; GO:0016462; GO:0046872
FB322_ARATH	Q9SIH5	FB322_ARATH	Probable F-box protein At2g36090	At2g36090 F9C22.2	Arabidopsis thaliana (Mouse-ear cress)	317						
AMT11_ARATH	P54144	AMT11_ARATH	Ammonium transporter 1 member 1 (AtAMT1;1)	AMT1-1 At4g13510 T6G15.60	Arabidopsis thaliana (Mouse-ear cress)	501	FUNCTION: High affinity ammonium transporter probably involved in ammonium uptake from the soil, long-distance transport to the shoots and re-uptake of apoplastic ammonium that derives from photorespiration in shoots. Contributes with AMT1-3 to the overall ammonium uptake capacity in roots under nitrogen-deficiency conditions. {ECO:0000269|PubMed:12481062, ECO:0000269|PubMed:16806203, ECO:0000269|PubMed:16917981, ECO:0000269|PubMed:17026539}.			TISSUE SPECIFICITY: Highly expressed in roots. Expressed in root tips, root hairs, root epidermis, rhizodermis, cortex and pericycle. Expressed in leaves epidermal and mesophyll cells. {ECO:0000269|PubMed:10330477, ECO:0000269|PubMed:16917981, ECO:0000269|PubMed:17026539, ECO:0000269|PubMed:17085512}.	ammonium transmembrane transporter complex [GO:0110067]; plasma membrane [GO:0005886]; plasmodesma [GO:0009506]; ammonium transmembrane transporter activity [GO:0008519]; protein self-association [GO:0043621]; ammonium homeostasis [GO:0097272]; ammonium transmembrane transport [GO:0072488]; lateral root branching [GO:0080181]; lateral root formation [GO:0010311]; monoatomic cation transport [GO:0006812]; protein polymerization [GO:0051258]	GO:0005886; GO:0006812; GO:0008519; GO:0009506; GO:0010311; GO:0043621; GO:0051258; GO:0072488; GO:0080181; GO:0097272; GO:0110067
AMT11_SOLLC	P58905	AMT11_SOLLC	Ammonium transporter 1 member 1 (LeAMT1;1)	AMT1-1	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	488	FUNCTION: Ammonium transporter that may be involved in ammonium uptake from the soil. {ECO:0000269|PubMed:10743657, ECO:0000269|PubMed:8755617}.			TISSUE SPECIFICITY: Root hairs and leaves.	membrane [GO:0016020]; ammonium transmembrane transporter activity [GO:0008519]; ammonium homeostasis [GO:0097272]; ammonium transmembrane transport [GO:0072488]	GO:0008519; GO:0016020; GO:0072488; GO:0097272
Y1814_ARATH	Q8LBV4	Y1814_ARATH	Uncharacterized methyltransferase At1g78140, chloroplastic (EC 2.1.1.-)	At1g78140 T11I11.8	Arabidopsis thaliana (Mouse-ear cress)	355					chloroplast [GO:0009507]; mitochondrion [GO:0005739]; plastoglobule [GO:0010287]; methyltransferase activity [GO:0008168]; methylation [GO:0032259]; organic substance metabolic process [GO:0071704]	GO:0005739; GO:0008168; GO:0009507; GO:0010287; GO:0032259; GO:0071704
HMDH_NICSY	Q01559	HMDH_NICSY	3-hydroxy-3-methylglutaryl-coenzyme A reductase (HMG-CoA reductase) (EC 1.1.1.34)	HMGR	Nicotiana sylvestris (Wood tobacco) (South American tobacco)	604	FUNCTION: Catalyzes the synthesis of mevalonate, the specific precursor of all isoprenoid compounds present in plants. Possible role in plant defense mechanisms as well as in the cell cycle.	PATHWAY: Metabolic intermediate biosynthesis; (R)-mevalonate biosynthesis; (R)-mevalonate from acetyl-CoA: step 3/3.	DEVELOPMENTAL STAGE: Expressed at highest levels during the G0-G1 transition in the cell cycle of mesophyll protoplasts.	TISSUE SPECIFICITY: Found in protoplasts and leaves submitted to stress. Low levels found in apexes, anthers and roots.	endoplasmic reticulum membrane [GO:0005789]; hydroxymethylglutaryl-CoA reductase (NADPH) activity [GO:0004420]; coenzyme A metabolic process [GO:0015936]; isoprenoid biosynthetic process [GO:0008299]	GO:0004420; GO:0005789; GO:0008299; GO:0015936
DVL4_ARATH	Q9SAF8	DVL4_ARATH	Small polypeptide DEVIL 4 (Small polypeptide ROTUNDIFOLIA like 17) (Small polypeptide ROT-FOUR-LIKE 17)	DVL4 RTFL17 At1g13245 F3F19.27	Arabidopsis thaliana (Mouse-ear cress)	41	FUNCTION: Small polypeptide acting as a regulatory molecule which coordinates cellular responses required for differentiation, growth and development, including leaves shape, pedicule elongation, inflorescence organization and fruit maturation, probably by restricting polar cell proliferation in lateral organs and coordinating socket cell recruitment and differentiation at trichome sites. {ECO:0000269|PubMed:14871303, ECO:0000269|PubMed:22112938}.			TISSUE SPECIFICITY: Mostly expressed in leaves and, to a lower extent, in roots, flowers and stems. {ECO:0000269|PubMed:14871303}.	plasma membrane [GO:0005886]; negative regulation of cell population proliferation [GO:0008285]; shoot system development [GO:0048367]	GO:0005886; GO:0008285; GO:0048367
PGLR_TOBAC	Q05967	PGLR_TOBAC	Polygalacturonase (PG) (EC 3.2.1.15) (Pectinase)	PG1	Nicotiana tabacum (Common tobacco)	396	FUNCTION: May function in depolymerizing pectin during pollen development, germination, and tube growth.			TISSUE SPECIFICITY: Pollen.	extracellular region [GO:0005576]; polygalacturonase activity [GO:0004650]; carbohydrate metabolic process [GO:0005975]; cell wall organization [GO:0071555]	GO:0004650; GO:0005576; GO:0005975; GO:0071555
C7111_SOLLC	Q1T7C2	C7111_SOLLC	Cytochrome P450 710A11 (EC 1.14.19.41) (C-22 sterol desaturase)	CYP710A11	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	501	FUNCTION: Required to form the C-22 double bond in the sterol side chain. Possesses in vitro C-22 desaturase activity toward beta-sitosterol to produce stigmasterol. No activity with 24-epi-campesterol. {ECO:0000269|PubMed:16531502}.	PATHWAY: Steroid biosynthesis; sterol biosynthesis. {ECO:0000269|PubMed:16531502}.			membrane [GO:0016020]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity [GO:0016491]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; sterol biosynthetic process [GO:0016126]; sterol metabolic process [GO:0016125]	GO:0004497; GO:0005506; GO:0016020; GO:0016125; GO:0016126; GO:0016491; GO:0016705; GO:0020037
MSRB1_ARATH	Q9C8M2	MSRB1_ARATH	Peptide methionine sulfoxide reductase B1, chloroplastic (AtMSRB1) (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)	MSRB1 At1g53670 F22G10.17	Arabidopsis thaliana (Mouse-ear cress)	202	FUNCTION: Catalyzes the reduction of methionine sulfoxide (MetSO) to methionine in proteins. Specifically reduces the MetSO R-enantiomer. Plays a protective role against oxidative stress by restoring activity to proteins that have been inactivated by methionine oxidation. May play an essential function in association with MSRB2 in maintaining vegetative growth during environmental constraints, through the preservation of photosynthetic antennae. MSRB1 and MSRB2 account for most of the leaf peptide MSR capacity. {ECO:0000269|PubMed:15923321, ECO:0000269|PubMed:17761174, ECO:0000269|PubMed:19457862, ECO:0000269|PubMed:19874542, ECO:0000269|PubMed:20236937}.			TISSUE SPECIFICITY: Expressed at low levels in stems, leaves, floral buds, flowers and siliques (at protein level). {ECO:0000269|PubMed:15923321}.	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; cytoplasm [GO:0005737]; metal ion binding [GO:0046872]; peptide-methionine (R)-S-oxide reductase activity [GO:0033743]; protein repair [GO:0030091]; response to oxidative stress [GO:0006979]	GO:0005737; GO:0006979; GO:0009507; GO:0009570; GO:0030091; GO:0033743; GO:0046872
RALF_TOBAC	Q945T0	RALF_TOBAC	Rapid alkalinization factor (NtRALF)	RALF	Nicotiana tabacum (Common tobacco)	115	FUNCTION: Cell signaling peptide that may regulate plant stress, growth, and development. Mediates a rapid alkalinization of extracellular space by mediating a transient increase in the cytoplasmic Ca(2+) concentration leading to a calcium-dependent signaling events through a cell surface receptor and a concomitant activation of some intracellular mitogen-activated protein kinases. Prevents root growth and seedling development in heterologous system. {ECO:0000269|PubMed:11675511}.				extracellular region [GO:0005576]; hormone activity [GO:0005179]; receptor ligand activity [GO:0048018]; calcium-mediated signaling [GO:0019722]; regulation of signaling receptor activity [GO:0010469]	GO:0005179; GO:0005576; GO:0010469; GO:0019722; GO:0048018
SAU50_ARATH	O65695	SAU50_ARATH	Auxin-responsive protein SAUR50 (Protein SMALL AUXIN UP-REGULATED RNA 50)	SAUR50 At4g34760 T4L20.340	Arabidopsis thaliana (Mouse-ear cress)	107	FUNCTION: Provide a mechanistic link between auxin and plasma membrane H(+)-ATPases (PM H(+)-ATPases, e.g. AHA1 and AHA2), and triggers PM H(+)-ATPases activity by promoting phosphorylation of their C-terminal autoinhibitory domain as a result of PP2C-D subfamily of type 2C phosphatases inhibition, thus leading to the acidification of the apoplast and the facilitation of solutes and water uptake to drive cell expansion (By similarity). Triggers plant growth probably by promoting cell elongation (By similarity). Regulates branch angles and bending (By similarity). Effector of hormonal and environmental signals in plant growth (Probable). {ECO:0000250|UniProtKB:O65648, ECO:0000250|UniProtKB:Q9SI60, ECO:0000305|PubMed:25983207}.		DEVELOPMENTAL STAGE: In flowers, present in stamen, petals and stigma. {ECO:0000269|PubMed:29258424}.	TISSUE SPECIFICITY: Expressed in cotyledons, leaves, flowers and siliques. {ECO:0000269|PubMed:29258424}.	plasma membrane [GO:0005886]; auxin-activated signaling pathway [GO:0009734]; response to auxin [GO:0009733]; response to brassinosteroid [GO:0009741]	GO:0005886; GO:0009733; GO:0009734; GO:0009741
SWT10_ARATH	Q9LUE3	SWT10_ARATH	Bidirectional sugar transporter SWEET10 (AtSWEET10) (Protein SUGARS WILL EVENTUALLY BE EXPORTED TRANSPORTERS 10)	SWEET10 At5g50790 MFB16.19	Arabidopsis thaliana (Mouse-ear cress)	289	FUNCTION: Mediates both low-affinity uptake and efflux of sugar across the plasma membrane. {ECO:0000250|UniProtKB:Q8L9J7}.				plasma membrane [GO:0005886]; sucrose transmembrane transporter activity [GO:0008515]; sugar transmembrane transporter activity [GO:0051119]; carbohydrate transport [GO:0008643]; long-day photoperiodism [GO:0048571]; sucrose transport [GO:0015770]	GO:0005886; GO:0008515; GO:0008643; GO:0015770; GO:0048571; GO:0051119
RTOR2_ORYSJ	Q0IQN5	RTOR2_ORYSJ	Regulatory-associated protein of TOR 2 (Protein RAPTOR 2) (OsRAPTOR2)	RAPTOR2 Os12g0110000 LOC_Os12g01922	Oryza sativa subsp. japonica (Rice)	1359	FUNCTION: Component of TORC1 complex, which is an essential cell growth regulator that controls plant development. Acts by recruiting substrates for TOR. Acts by activating transcription, protein synthesis and ribosome biogenesis, and inhibiting mRNA degradation and autophagy. {ECO:0000305|PubMed:25956502}.				cytoplasm [GO:0005737]; TORC1 complex [GO:0031931]; protein-macromolecule adaptor activity [GO:0030674]; cellular response to amino acid stimulus [GO:0071230]; cellular response to starvation [GO:0009267]; positive regulation of cell growth [GO:0030307]; positive regulation of protein serine/threonine kinase activity [GO:0071902]; regulation of autophagy [GO:0010506]; TOR signaling [GO:0031929]	GO:0005737; GO:0009267; GO:0010506; GO:0030307; GO:0030674; GO:0031929; GO:0031931; GO:0071230; GO:0071902
SWT16_ORYSJ	Q10LN5	SWT16_ORYSJ	Bidirectional sugar transporter SWEET16 (OsSWEET16)	SWEET16 Os03g0341300 LOC_Os03g22200 OsJ_10795	Oryza sativa subsp. japonica (Rice)	328	FUNCTION: Mediates both low-affinity uptake and efflux of sugar across the plasma membrane. {ECO:0000250|UniProtKB:Q8L9J7}.				plasma membrane [GO:0005886]; sugar transmembrane transporter activity [GO:0051119]; carbohydrate transport [GO:0008643]	GO:0005886; GO:0008643; GO:0051119
ZRK7_ARATH	F4J3H7	ZRK7_ARATH	Serine/threonine-protein kinase ZRK7 (EC 2.7.11.1)	ZRK7 At3g57770 F15B8.40	Arabidopsis thaliana (Mouse-ear cress)	269					plasma membrane [GO:0005886]; ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]; cell surface receptor signaling pathway [GO:0007166]; protein phosphorylation [GO:0006468]	GO:0004674; GO:0004713; GO:0005524; GO:0005886; GO:0006468; GO:0007166; GO:0106310
LAT52_SOLLC	P13447	LAT52_SOLLC	Anther-specific protein LAT52	LAT52	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	161	FUNCTION: May play a role during germination or early tube growth.			TISSUE SPECIFICITY: Expressed in anthers and pollen.	extracellular space [GO:0005615]	GO:0005615
ASR2_SOLLC	P37219	ASR2_SOLLC	Abscisic stress-ripening protein 2	ASR2	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	114						
MSK1_TOBAC	Q40518	MSK1_TOBAC	Shaggy-related protein kinase NtK-1 (EC 2.7.11.1)	NTK-1	Nicotiana tabacum (Common tobacco)	409	FUNCTION: May mediate extracellular signals to regulate transcription in differentiating cells. {ECO:0000250}.				cytoplasm [GO:0005737]; ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein phosphorylation [GO:0006468]; signal transduction [GO:0007165]	GO:0004674; GO:0005524; GO:0005737; GO:0006468; GO:0007165; GO:0106310
GDL79_ARATH	Q8LB81	GDL79_ARATH	GDSL esterase/lipase At5g33370 (EC 3.1.1.-) (Extracellular lipase At5g33370)	At5g33370 F19N2.90	Arabidopsis thaliana (Mouse-ear cress)	366					extracellular region [GO:0005576]; hydrolase activity, acting on ester bonds [GO:0016788]; cuticle development [GO:0042335]; lipid catabolic process [GO:0016042]	GO:0005576; GO:0016042; GO:0016788; GO:0042335
AGP41_ARATH	Q8L9T8	AGP41_ARATH	Arabinogalactan protein 41 (AtAGP41) (Arabinogalactan peptide 41) (AG-peptide 41)	AGP41 At5g24105	Arabidopsis thaliana (Mouse-ear cress)	63	FUNCTION: Proteoglycan that seems to be implicated in diverse developmental roles such as differentiation, cell-cell recognition, embryogenesis and programmed cell death. {ECO:0000305}.				plasma membrane [GO:0005886]	GO:0005886
FLA9_ARATH	Q9ZWA8	FLA9_ARATH	Fasciclin-like arabinogalactan protein 9	FLA9 At1g03870 F21M11.20	Arabidopsis thaliana (Mouse-ear cress)	247	FUNCTION: May be a cell surface adhesion protein.				extracellular region [GO:0005576]; plasma membrane [GO:0005886]; secretory vesicle [GO:0099503]	GO:0005576; GO:0005886; GO:0099503
BRH1_ARATH	Q9XF92	BRH1_ARATH	Brassinosteroid-responsive RING protein 1	BRH1 At3g61460 F2A19.60	Arabidopsis thaliana (Mouse-ear cress)	170	FUNCTION: May be involved in the brassinosteroids (BRs) signaling pathway and regulate the growth and development of rosette leaves (PubMed:28887625). Seems to prevent over development of leaves and inflorescence stems (PubMed:12012249). {ECO:0000269|PubMed:12012249, ECO:0000269|PubMed:28887625}.			TISSUE SPECIFICITY: Highly expressed in stems, rosette leaves and siliques, and moderately expressed in roots, cauline leaves and flower (PubMed:28887625). Detected at low levels in seeds (PubMed:28887625). {ECO:0000269|PubMed:28887625}.	membrane [GO:0016020]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]; brassinosteroid mediated signaling pathway [GO:0009742]; protein ubiquitination [GO:0016567]; regulation of leaf morphogenesis [GO:1901371]; regulation of plant organ morphogenesis [GO:1905421]; response to brassinosteroid [GO:0009741]; response to chitin [GO:0010200]	GO:0008270; GO:0009741; GO:0009742; GO:0010200; GO:0016020; GO:0016567; GO:0061630; GO:1901371; GO:1905421
PIN3_ARATH	Q9S7Z8	PIN3_ARATH	Auxin efflux carrier component 3 (AtPIN3)	PIN3 At1g70940 F15H11.14	Arabidopsis thaliana (Mouse-ear cress)	640	FUNCTION: Acts as a component of the auxin efflux carrier. Seems to be involved in the lateral auxin transport system and mediates tropic growth. Coordinated polar localization of PIN3 is directly regulated by the vesicle trafficking process. {ECO:0000269|PubMed:20439545}.		DEVELOPMENTAL STAGE: Expressed during embryogenesis. Detected in the precursors of the columella root cells. {ECO:0000269|PubMed:14614497}.	TISSUE SPECIFICITY: Predominantly expressed at the lateral side of shoot endodermis cells as well as root pericycle and columella cells.	cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; lateral plasma membrane [GO:0016328]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; vesicle membrane [GO:0012506]; auxin efflux transmembrane transporter activity [GO:0010329]; auxin export across the plasma membrane [GO:0010315]; auxin polar transport [GO:0009926]; auxin-activated signaling pathway [GO:0009734]; gravitropism [GO:0009630]; positive gravitropism [GO:0009958]; response to light stimulus [GO:0009416]; root development [GO:0048364]; root hair elongation [GO:0048767]; root hair initiation [GO:0048766]; tropism [GO:0009606]	GO:0005739; GO:0005783; GO:0005886; GO:0009416; GO:0009606; GO:0009630; GO:0009734; GO:0009926; GO:0009958; GO:0009986; GO:0010315; GO:0010329; GO:0012506; GO:0016328; GO:0048364; GO:0048766; GO:0048767
PIN7_ARATH	Q940Y5	PIN7_ARATH	Auxin efflux carrier component 7 (AtPIN7)	PIN7 AEH1 At1g23080 T26J12.14	Arabidopsis thaliana (Mouse-ear cress)	619	FUNCTION: Acts as a component of the auxin efflux carrier (PubMed:14614497, PubMed:20439545). Mediates the initial auxin gradient which contributes to the establishment of the apical-basal axis in early embryogenesis (PubMed:14614497). {ECO:0000269|PubMed:14614497, ECO:0000269|PubMed:20439545}.		DEVELOPMENTAL STAGE: Expressed during early embryogenesis. Detected apically in the basal cell lineage resulting from the first zygotic division. At the 32-cell stage, localization shifts to the basal side of the cells in the developing embryo. {ECO:0000269|PubMed:14614497}.		endoplasmic reticulum [GO:0005783]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; plasmodesma [GO:0009506]; auxin efflux transmembrane transporter activity [GO:0010329]; auxin export across the plasma membrane [GO:0010315]; auxin polar transport [GO:0009926]; auxin-activated signaling pathway [GO:0009734]; longitudinal axis specification [GO:0009942]	GO:0005634; GO:0005783; GO:0005886; GO:0009506; GO:0009734; GO:0009926; GO:0009942; GO:0010315; GO:0010329
LLG1_ARATH	Q9FKT1	LLG1_ARATH	GPI-anchored protein LLG1 (LORELEI-like-GPI-anchored protein 1)	LLG1 At5g56170 MDA7.23	Arabidopsis thaliana (Mouse-ear cress)	168	FUNCTION: Component of the FER-regulated Rho GTPase signaling complex. Acts as a chaperone and coreceptor for FER. Required for localization of FER to the plasma membrane. {ECO:0000269|PubMed:26052747}.			TISSUE SPECIFICITY: Expressed in pollen, pollen tubes, sporophytic pistil tissues, in the early stages of female gametophyte development, and in unfertilized, mature ovules (PubMed:20163554). Expressed in roots, lateral roots, shoots, cotyledons, petioles, developing leaves and anther filaments. {ECO:0000269|PubMed:20163554}.	plasma membrane [GO:0005886]; plastid [GO:0009536]; pollen tube [GO:0090406]; positive regulation of growth [GO:0045927]	GO:0005886; GO:0009536; GO:0045927; GO:0090406
NUD21_ARATH	Q8VY81	NUD21_ARATH	Nudix hydrolase 21, chloroplastic (AtNUDT21) (EC 3.6.1.-)	NUDT21 NUDX21 At1g73540 T9L24.30	Arabidopsis thaliana (Mouse-ear cress)	198	FUNCTION: Probably mediates the hydrolysis of some nucleoside diphosphate derivatives. {ECO:0000250}.			TISSUE SPECIFICITY: Expressed in roots, leaves, stems and inflorescences. {ECO:0000269|PubMed:18815383}.	chloroplast [GO:0009507]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; metal ion binding [GO:0046872]; pyrophosphatase activity [GO:0016462]	GO:0005634; GO:0005737; GO:0009507; GO:0016462; GO:0046872
